Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,19125.000000,19450.000000,14500.000000,15200.000000,8258.059570,49242700
2017-06-01,15200.000000,18400.000000,15200.000000,17300.000000,9398.975586,28783400
2017-07-01,17050.000000,21900.000000,17050.000000,20000.000000,10865.869141,29383800
2017-08-01,20000.000000,21125.000000,18550.000000,19450.000000,10567.056641,32886200
2017-09-01,19450.000000,20975.000000,18250.000000,20250.000000,11001.692383,25682400
2017-10-01,20250.000000,23175.000000,19425.000000,22200.000000,12061.113281,28416700
2017-11-01,22300.000000,22950.000000,19300.000000,21150.000000,11490.654297,23997300
2017-12-01,21150.000000,21600.000000,20000.000000,20700.000000,11935.796875,15721500
2018-01-01,20700.000000,31575.000000,19850.000000,30300.000000,17471.240234,38508500
2018-02-01,30300.000000,32200.000000,28000.000000,30800.000000,17759.544922,25262500
2018-03-01,30800.000000,31200.000000,25725.000000,28500.000000,16433.341797,43304000
2018-04-01,28750.000000,29225.000000,23100.000000,23650.000000,13636.790039,17305000
2018-05-01,23650.000000,27725.000000,21200.000000,25825.000000,15913.848633,30158800
2018-06-01,25825.000000,28500.000000,21850.000000,22375.000000,13787.894531,35176400
2018-07-01,22500.000000,30500.000000,21000.000000,28475.000000,17546.832031,46856100
2018-08-01,28850.000000,29450.000000,25375.000000,28300.000000,17438.994141,37780700
2018-09-01,28300.000000,28300.000000,25125.000000,25850.000000,15929.254883,25787700
2018-10-01,26000.000000,27100.000000,24650.000000,24900.000000,15343.848633,35946600
2018-11-01,24950.000000,25175.000000,19325.000000,21250.000000,13852.676758,57463900
2018-12-01,21800.000000,21900.000000,19525.000000,20250.000000,13200.786133,32909900
2019-01-01,20250.000000,23575.000000,19750.000000,22800.000000,14863.105469,42479100
2019-02-01,22775.000000,23650.000000,20450.000000,21375.000000,13934.163086,33725000
2019-03-01,21300.000000,24475.000000,21250.000000,23750.000000,15482.404297,33234000
2019-04-01,23700.000000,24050.000000,19125.000000,19225.000000,12532.596680,34211100
2019-05-01,19225.000000,19425.000000,15175.000000,17525.000000,12492.156250,26445200
2019-06-01,17525.000000,18500.000000,16650.000000,17550.000000,12509.976563,26671600
2019-07-01,17550.000000,17925.000000,16750.000000,16825.000000,11993.181641,25491600
2019-08-01,16825.000000,16900.000000,11700.000000,13000.000000,9266.649414,36235400
2019-09-01,13000.000000,15200.000000,12100.000000,12400.000000,8838.958008,27657200
2019-10-01,12550.000000,13800.000000,11950.000000,13300.000000,9480.494141,28231800
2019-11-01,12650.000000,13200.000000,10225.000000,10225.000000,7288.576172,36103900
2019-12-01,10225.000000,11625.000000,10050.000000,11475.000000,8637.450195,37287600
2020-01-01,11475.000000,13625.000000,10050.000000,10050.000000,7564.826172,37708900
2020-02-01,10050.000000,11350.000000,9800.000000,11300.000000,8505.724609,40714600
2020-03-01,11150.000000,11225.000000,5650.000000,8100.000000,6097.024414,52445800
2020-04-01,8000.000000,9000.000000,6800.000000,7200.000000,5419.576172,30195200
2020-05-01,7200.000000,8375.000000,6950.000000,8100.000000,6097.024414,31958400
2020-06-01,8100.000000,9175.000000,7100.000000,7100.000000,5344.304688,104334700
2020-07-01,7150.000000,8350.000000,7050.000000,7900.000000,6352.164551,95230300
2020-08-01,7900.000000,8775.000000,7400.000000,8275.000000,6653.691406,82438900
2020-09-01,8400.000000,8850.000000,7500.000000,8150.000000,6553.182129,54925400
2020-10-01,8175.000000,8475.000000,7975.000000,8125.000000,6533.080566,42647000
2020-11-01,8200.000000,14150.000000,8200.000000,13100.000000,10533.335938,139719100
2020-12-01,13600.000000,15700.000000,13150.000000,13850.000000,11549.895508,164173500
2021-01-01,13850.000000,15050.000000,11600.000000,12250.000000,10215.612305,109076200
2021-02-01,12100.000000,13250.000000,11525.000000,12200.000000,10173.916016,56980700
2021-03-01,12200.000000,13200.000000,11425.000000,11425.000000,9527.622070,58962100
2021-04-01,11500.000000,12875.000000,11475.000000,11875.000000,9902.889648,37730800
2021-05-01,11825.000000,13475.000000,11750.000000,12925.000000,10929.673828,43415900
2021-06-01,13075.000000,15200.000000,13050.000000,14200.000000,12007.841797,80281100
2021-07-01,14450.000000,17275.000000,13800.000000,16950.000000,14333.304688,59298000
2021-08-01,17100.000000,17750.000000,15075.000000,16000.000000,13529.962891,75031500
2021-09-01,16000.000000,21300.000000,15900.000000,20800.000000,17588.953125,91512900
2021-10-01,20900.000000,27750.000000,20900.000000,21600.000000,18265.451172,153463900
2021-11-01,21050.000000,23100.000000,19025.000000,21550.000000,18223.169922,122051100
2021-12-01,21000.000000,21950.000000,19750.000000,20400.000000,18248.535156,49167500
2022-01-01,19350.000000,22700.000000,19325.000000,21650.000000,19366.705078,61289000
2022-02-01,21650.000000,27700.000000,20375.000000,26675.000000,23861.748047,74687700
2022-03-01,27350.000000,30200.000000,25500.000000,28550.000000,25539.003906,151877200
2022-04-01,28600.000000,28825.000000,25600.000000,28300.000000,25315.369141,72777600
2022-04-14,28200.000000,28425.000000,27825.000000,28300.000000,28300.000000,4332900
